username,firstname,lastname,email,job_description,hospital,rating
ngozi2,Ngozi,Chukwu,ngozi.chukwu@lagosuniversityteachinghospital.ng,Medical Device Rep,Lagos University Teaching Hospital,4.3
uche4,Uche,Okeke,uche.okeke@uchibadan.ng,Medical Lab Tech,University College Hospital Ibadan,4.4
bola2,Bola,Adesina,bola.adesina@nationalhospitalabuja.ng,Medical Office Manager,National Hospital Abuja,4.5
tosin2,Tosin,Ajayi,tosin.ajayi@lagosteachinghospital.ng,Medical Scheduler,Lagos State Teaching Hospital,4.2
halima2,Halima,Abubakar,halima.abubakar@obafemiawolowouniversityhospital.ng,Medical Supply Tech,Obafemi Awolowo University Hospital,4.3
musa2,Musa,Abdullahi,musa.abdullahi@aminukanoteachinghospital.ng,Medical Transporter,Aminu Kano Teaching Hospital,4.4
yetunde2,Yetunde,Salami,yetunde.salami@stnicholashospital.ng,Medical Volunteer,St. Nicholas Hospital,4.5
olumide2,Olumide,Adigun,olumide.adigun@reddingtonhospital.ng,Medical Waste Handler,Reddington Hospital,4.2
aminat2,Aminat,Lawal,aminat.lawal@federalmedicalcentreyaba.ng,Medical Receptionist,Federal Medical Centre Yaba,4.3
chinedu3,Chinedu,Okoro,chinedu.okoro@stnicholashospital.ng,Medical Records Clerk,St. Nicholas Hospital,4.4
femi2,Femi,Adesanya,femi.adesanya@cityhealthclinic.ng,Medical Assistant,City Health Clinic,4.3
maryam2,Maryam,Usman,maryam.usman@uchibadan.ng,Medical Secretary,University College Hospital Ibadan,4.2
gbenga2,Gbenga,Alabi,gbenga.alabi@nationalhospitalabuja.ng,Medical Interpreter,National Hospital Abuja,4.3
fatima2,Fatima,Abdullahi,fatima.abdullahi@lagosteachinghospital.ng,Medical Interpreter,Lagos State Teaching Hospital,4.3
